dxc.np3n.com:7300,DX Spider
nr1x.budlog.net:7300,DX Spider
NU1G-1.NO-IP.ORG:7300,CC Cluster
dxc.f2f.us:7300,DX Spider
dxcluster.oevsv.at:41112,DX Spider
radio-linux.isti.cnr.it:23,DX Spider
oe9xpr.ampr.org:8000,DX Spider
oh1ab.dy.fi:8000,DX Spider
ham.connect.fi:7300,DX Spider
ok0dxh.goo.cz:8000,DX Spider
ok0dxi.nagano.cz:41112,DX Spider
radio-linux.isti.cnr.it:23,AK1A
ok0ntu.ampr.cz:7373,DxNet
hamqth.com:7300,DX Spider
44.144.11.254:8000,DX Spider
193.53.39.133:7300,DX Spider
on0dxk.dyndns.org:8000,CC Cluster
on0llv.ddns.net:7300,DX Spider
nolcluster.on8ar.eu:7300,DX Spider
dxl.radioclubleuven.be:7300,DX Spider
on2vhf.ddns.net:7300,DX Spider
dxspider.on3ure.be:7300,DX Spider
on3vhf.no-ip.org:8000,AR-Cluster
on4kvi.dyndns.org:7300,DX Spider
on4ll.ddns.net:7300,DX Spider
151.80.57.37:7300,DX Spider
op0p.no-ip.org:8000,CC Cluster
oz5bbs.dk:8000,DX Spider
p43l.serveftp.org:7300,DX Spider
83.163.98.212:7373,AR-Cluster
80.60.80.8:8000,DX Spider
pa0esh.com:7300,DX Spider
pa1rbz.dyndns.org:9000,DX Spider
dxc.pa2dx.nl:9000,DX Spider
www.hanslammerts.nl:7300,DX Spider
ea1.pa4ab.net:8000,DX Spider
83.162.186.242:7300,DX Spider
83.162.186.242:7388,DX Spider
pa8f.ddns.net:7300,DX Spider
dxc.pe1itr.com:7300,DX Spider
85.151.146.92:23,AR-Cluster
dxc.pi4cc.nl:8000,DX Spider
claudia.esrac.ele.tue.nl:8000,DX Spider
pi8cdr.halerbrug.nl:7000,DX Spider
radio-linux.isti.cnr.it:23,DxNet
pi8dxc.mooo.com:41112,DX Spider
radio-linux.isti.cnr.it:23,DX Spider
radio-linux.isti.cnr.it:23,DX Spider
PI1SNK.NO-IP.ORG:23,AR-Cluster
dxc.pp5mcb.com.br:23,AR-Cluster
dxc.qrg.net.br:7300,DX Spider
telnet.dxwatch.com:7000,DX Spider
cluster.riodxgroup.com:7000,DX Spider
py2bk.dyndns.org:9000,AR-Cluster
ok2pen.ampr.org:7300,DX Spider
dxc.baependi.com.br:8000,DX Spider
idxcluster.shacknet.us:7300,DX Spider
py5jo.no-ip.org:8000,DX Spider
cluster.py6un.com.br:7300,DX Spider
77.91.196.82:7300,DX Spider
r5acq.no-ip.org:7373,DX Spider
r7ab.73.ru:23,AR-Cluster
dx.znuki.ru:7300,DX Spider
212.96.100.27:7300,DX Spider
176.62.179.24:7373,CC Cluster
rn6bn.73.ru:23,AR-Cluster
dxc.vxnet.ru:8000,DX Spider
odxc.ru:8000,DX Spider
93.88.130.90:8000,DX Spider
s50arx.hamradio.si:7300,AR-Cluster
s50clx.infrax.si:41112,DX Spider
s50dxs.s53m.com:8000,DX Spider
cluster.s55hhh.net:7373,AR-Cluster
thr-1.math.kth.se:8000,DX Spider
sk2au.mine.nu:23,DX Spider
sk3w.se:8000,DX Spider
sm6.se:8000,DX Spider
ax25.org:8000,DX Spider
cluster.sk4bw.net:8000,DX Spider
sm6hoc.dyndns.org:7300,DX Spider
sk6aw.net:8000,DX Spider
sm7gvf.dyndns.org:8000,DX Spider
www.sp7ydd.ampr.org:9000,DxNet
217.96.37.168:9000,DxNet
www.sr1bsz.ampr.org:9000,DxNet
